Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 03/09  22:00:00,79369023.82617833,79369023.82617833,13151971.947866232,55180531.87831209 
 03/09  23:00:00,80348723.77443354,80348723.77443354,6575985.973933116,55180531.87831209 
 03/09  24:00:00,68265901.4617128,68265901.4617128,7625873.53771374,44533202.00181081 
 03/10  01:00:00,71677759.6201205,71677759.6201205,7625873.53771374,44533202.00181081 
 03/10  02:00:00,71327769.75166279,71327769.75166279,7625873.53771374,44533202.00181081 
 03/10  03:00:00,66941952.119424369,66941952.119424369,7625873.53771374,44533202.00181081 
 03/10  04:00:00,69461860.9355436,69461860.9355436,7625873.53771374,44533202.00181081 
 03/10  05:00:00,77451714.2101727,77451714.2101727,15251747.07542748,44533202.00181081 
 03/10  06:00:00,97831458.03831665,97831458.03831665,13151971.947866232,55180531.87831209 
 03/10  07:00:00,160951594.71650473,160951594.71650467,37905756.09595861,95796493.41677362 
 03/10  08:00:00,341405053.39728936,341405053.39728936,96009263.82637957,204227663.7591696 
 03/10  09:00:00,313625260.13361158,313625260.13361158,93492641.94623712,174055806.61631225 
 03/10  10:00:00,305236276.6983488,305236276.6983496,93124323.85391505,167093070.3525762 
 03/10  11:00:00,300443568.8309802,300443568.8309802,93124323.85391505,174055806.61631225 
 03/10  12:00:00,304003913.3714428,304003913.3714428,93124323.85391505,177667514.30607493 
 03/10  13:00:00,306922515.28350976,306922515.28350976,93124323.85391505,179858086.83609239 
 03/10  14:00:00,293891587.94847497,293891587.94847497,93124323.85391505,167093070.3525762 
 03/10  15:00:00,293639679.40063908,293639679.40063908,93124323.85391505,167093070.3525762 
 03/10  16:00:00,304579413.4150431,304579413.4150432,93368072.65070336,177537174.74818046 
 03/10  17:00:00,226472937.18738676,226472937.18738676,53753712.27470829,140923939.57316477 
 03/10  18:00:00,121036963.37704344,121036963.37704343,38345332.91985407,69106004.40578471 
 03/10  19:00:00,115577324.99404632,115577324.9940462,39455915.8435987,59822356.054136309 
 03/10  20:00:00,107617130.15224897,107617130.15224897,26303943.895732464,59822356.054136309 
 03/10  21:00:00,92520995.77404467,92520995.77404467,26303943.895732464,55180531.87831209 
 03/10  22:00:00,79369023.82617833,79369023.82617833,13151971.947866232,55180531.87831209 
 03/10  23:00:00,72793037.85224529,72793037.85224529,6575985.973933116,55180531.87831209 
 03/10  24:00:00,60650215.539524439,60650215.539524439,7625873.53771374,44533202.00181081 
 03/11  01:00:00,60650215.539524439,60650215.539524439,7625873.53771374,44533202.00181081 
 03/11  02:00:00,60650215.539524439,60650215.539524439,7625873.53771374,44533202.00181081 
 03/11  03:00:00,60650215.539524439,60650215.539524439,7625873.53771374,44533202.00181081 
 03/11  04:00:00,60650215.539524439,60650215.539524439,7625873.53771374,44533202.00181081 
 03/11  05:00:00,68276089.07723834,68276089.07723834,15251747.07542748,44533202.00181081 
 03/11  06:00:00,87183903.82617833,87183903.82617833,13151971.947866232,55180531.87831209 
