Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),Environment:Site Daylight Saving Time Status [](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call) 
 01/21  02:40:00,-6.3,,19.12483041512429,13.385258179563565,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:41:00,-6.3,,19.13030408597634,13.385098832957214,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:42:00,-6.3,,19.132080350426926,13.384942372648567,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:43:00,-6.3,,19.13061712209053,13.384788652169654,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:44:00,-6.3,,19.126360080817677,13.384637424981037,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:45:00,-6.3,,19.119717173856299,13.384488356986333,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:46:00,-6.3,,19.11104965622937,13.38434104102892,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:47:00,-6.3,,19.100671155975147,13.384195012483897,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:48:00,-6.3,,19.088850491046015,13.38404976491716,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:49:00,-6.3,,19.07581612866711,13.383904766280269,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:50:00,-6.3,,19.061761191505754,13.383759477678762,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
